Confirmed list of securities to be auctioned in A 2025155 to be held on Aug 14 2025.

Sr No,Symbol,Series,Total Qty
1,AARVI,EQ,2156
2,ACLGATI,EQ,1
3,ACMESOLAR,EQ,70
4,ADANIENT,EQ,14
5,ADANIPORTS,EQ,475
6,AEGISVOPAK,EQ,1
7,ALOKINDS,EQ,6
8,APEX,EQ,1
9,APOLLOHOSP,EQ,949
10,APTUS,EQ,5001
11,ARFIN,EQ,45
12,ASTRAMICRO,EQ,10
13,AUBANK,EQ,5
14,AZAD,EQ,5
15,BANG,EQ,88
16,BANKBARODA,EQ,25
17,BASML,EQ,50
18,BDL,EQ,214
19,BELRISE,EQ,250
20,BHARTIARTL,EQ,19
21,BLACKBUCK,EQ,101
22,BLUESTARCO,EQ,10
23,BSE,EQ,81
24,BSLGOLDETF,EQ,5
25,CARTRADE,EQ,5
26,CGCL,EQ,25
27,CIPLA,EQ,12
28,CLEDUCATE,EQ,2
29,CONSOFINVT,EQ,2
30,CREST,EQ,40
31,CRIZAC,EQ,167123
32,DIVISLAB,EQ,2
33,DMART,EQ,7
34,EASEMYTRIP,EQ,13400
35,EICHERMOT,EQ,3
36,EIEL,EQ,1
37,EIHOTEL,EQ,50
38,ELECON,EQ,50
39,ESSENTIA,EQ,2966
40,ETERNAL,EQ,42
41,FMGOETZE,EQ,70
42,GANESHBE,EQ,2
43,GHCL,EQ,37
44,GLOBALVECT,EQ,13
45,GOKEX,EQ,10
46,GOLDCASE,EQ,5000
47,HAL,EQ,10
48,HBLENGINE,EQ,95
49,HFCL,EQ,7
50,HINDALCO,EQ,1490
51,HOMEFIRST,EQ,10
52,HONASA,EQ,1
53,ICEMAKE,EQ,5
54,IDEA,EQ,2
55,INDOTECH,EQ,1
56,INDUSINDBK,EQ,250
57,INFOBEAN,EQ,1423
58,IOC,EQ,213
59,IRB,EQ,20
60,IXIGO,EQ,100
61,JINDALSTEL,EQ,5
62,JMFINANCIL,EQ,900
63,JPPOWER,EQ,550
64,JSL,EQ,1
65,JSWINFRA,EQ,2000
66,JUBLFOOD,EQ,3
67,KIRLOSBROS,EQ,25
68,KITEX,EQ,150
69,LLOYDSME,EQ,75
70,LOTUSDEV,EQ,1
71,LOVABLE,EQ,200
72,LUPIN,EQ,5
73,M&M,EQ,10
74,M&MFIN,EQ,25
75,MAGADSUGAR,EQ,66
76,MAHKTECH,EQ,6761
77,MARKSANS,EQ,2100
78,MCX,EQ,1
79,MEDICO,EQ,200
80,MICEL,EQ,359
81,MIRCELECTR,EQ,259
82,MOL,EQ,365
83,MOLDTECH,EQ,2
84,MOSCHIP,EQ,1
85,MOTHERSON,EQ,1
86,MOTILALOFS,EQ,30
87,NAVINFLUOR,EQ,1
88,NDLVENTURE,EQ,30220
89,NESTLEIND,EQ,14
90,NEXT30ADD,EQ,3829
91,NSLNISP,EQ,1975768
92,NTPC,EQ,1
93,NYKAA,EQ,123
94,OLAELEC,EQ,400
95,ORIENTLTD,EQ,56
96,OSWALPUMPS,EQ,25
97,OSWALSEEDS,EQ,500
98,PAYTM,EQ,229
99,PIDILITIND,EQ,2
100,POWERINDIA,EQ,125
101,PREMEXPLN,EQ,188465
102,PRIMESECU,EQ,1
103,PRITI,EQ,3023
104,PROSTARM,EQ,133
105,PROTEAN,EQ,50
106,PTL,EQ,30
107,RAJOOENG,EQ,500
108,REDTAPE,EQ,199
109,RICOAUTO,EQ,6
110,RKFORGE,EQ,1
111,RSYSTEMS,EQ,2
112,SAGILITY,EQ,2
113,SALASAR,EQ,21
114,SANSTAR,EQ,50
115,SARDAEN,EQ,1
116,SARVESHWAR,EQ,10
117,SATIPOLY,SM,1000
118,SBFC,EQ,1
119,SBICARD,EQ,8
120,SHREECEM,EQ,1
121,SMARTWORKS,EQ,4
122,SMLISUZU,EQ,50
123,SOLARINDS,EQ,330
124,SUPREMEIND,EQ,50
125,SURANI,SM,200
126,SUZLON,EQ,500
127,SWANENERGY,EQ,1
128,TAJGVK,EQ,1
129,TARAPUR,EQ,328
130,TATACONSUM,EQ,15
131,TATAMOTORS,EQ,10
132,TATAPOWER,EQ,10
133,TATASTEEL,EQ,20
134,TBZ,EQ,4
135,TIPSFILMS,EQ,129
136,TRAVELFOOD,EQ,460
137,TRENT,EQ,3
138,TVSMOTOR,EQ,1
139,UNIECOM,EQ,275
140,UNITDSPR,EQ,5
141,VALIANTLAB,EQ,5995
142,VIKASLIFE,EQ,13789
143,VIMTALABS,EQ,20
144,VINCOFE,EQ,2000
145,VIPULLTD,EQ,5790
146,VMM,EQ,2700
147,WIPL,EQ,2
148,WSI,EQ,37
149,YATRA,EQ,3045
