Sr. No,Symbol,Series,Security Name,From,To
1,MIRCELECTR,BE,MIRC ELECTRONICS LIMITED,10,5
2,NIBE,EQ,NIBE LIMITED,10,5
3,NDLVENTURE,EQ,NDL VENTURES LIMITED,20,10
4,YATRA,EQ,YATRA ONLINE LIMITED,20,10
