SYMBOL,SECURITY,WEIGHTAGE(%)
HDFCBANK, HDFC BANK LTD., 13.60
ICICIBANK, ICICI BANK LTD., 9.11
RELIANCE, RELIANCE INDUSTRIES LTD., 8.34
INFY, INFOSYS LTD., 4.67
BHARTIARTL, BHARTI AIRTEL LTD., 4.58
LT, LARSEN & TOUBRO LTD., 3.87
ITC, ITC LTD., 3.43
SBIN, STATE BANK OF INDIA, 2.84
TCS, TATA CONSULTANCY SERVICES LTD., 2.77
AXISBANK, AXIS BANK LTD., 2.74
