Sr. No,Symbol,Series,Security Name,From,To
1,IEL,BE,INDIABULLS ENTERPRISES LIMITED,10,5
2,ONELIFECAP,EQ,ONELIFE CAPITAL ADVISORS LIMITED,10,5
3,AKI,BE,AKI INDIA LIMITED,2,5
4,ASTRON,BE,ASTRON PAPER & BOARD MILL LIMITED,2,5
5,DHTL,ST,DOCMODE HEALTH TECHNOLOGIES LIMITED,2,5
6,ELGIRUBCO,BE,ELGI RUBBER COMPANY LIMITED,2,5
7,IZMO,BE,IZMO LIMITED,2,5
8,JITFINFRA,BE,JITF INFRALOGISTICS LIMITED,2,5
9,KEYFINSERV,BE,KEYNOTE FINANCIAL SERVICES LIMITED,2,5
10,KONTOR,ST,KONTOR SPACE LIMITED,2,5
11,LOKESHMACH,BE,LOKESH MACHINES LIMITED,2,5
12,NEWJAISA,ST,NEWJAISA TECHNOLOGIES LIMITED,2,5
13,PENINLAND,BE,PENINSULA LAND LIMITED,2,5
14,RAMANEWS,BE,SHREE RAMA NEWSPRINT LIMITED,2,5
15,REFRACTORY,ST,REFRACTORY SHAPES LIMITED,2,5
16,RPPINFRA,BE,R.P.P. INFRA PROJECTS LIMITED,2,5
17,SAHAJSOLAR,ST,SAHAJ SOLAR LIMITED,2,5
18,SETCO,BE,SETCO AUTOMOTIVE LIMITED,2,5
19,TARACHAND,BE,TARA CHAND INFRALOGISTIC SOLUTIONS LIMITED,2,5
20,TEMBO,BE,TEMBO GLOBAL INDUSTRIES LIMITED,2,5
21,TIRUPATIFL,BE,TIRUPATI FORGE LIMITED,2,5
22,VERITAAS,ST,VERITAAS ADVERTISING LIMITED,2,5
23,VINNY,BE,VINNY OVERSEAS LIMITED,2,5
24,VLEGOV,BE,VL E GOVERNANCE & IT SOLUTIONS LIMITED,2,5
25,AAKASH,EQ,AAKASH EXPLORATION SERVICES LIMITED,20,10
26,BARFLEX,ST,BARFLEX POLYFILMS LIMITED,20,5
27,CINEVISTA,BE,CINEVISTA LIMITED,20,5
28,APEXECO,SM,APEX ECOTECH LIMITED,5,20
29,BESTAGRO,EQ,BEST AGROLIFE LIMITED,5,10
30,JINDALPHOT,BE,JINDAL PHOTO LIMITED,5,2
31,KKJEWELS,SM,KABRA JEWELS LIMITED,5,20
32,KODYTECH,SM,KODY TECHNOLAB LIMITED,5,10
33,RBZJEWEL,EQ,RBZ JEWELLERS LIMITED,5,20
34,SFML,SM,SUPREME FACILITY MANAGEMENT LIMITED,5,20
35,KTL,SZ,KALAHRIDHAAN TRENDZ LIMITED,2,5
