SYMBOL,SECURITY,WEIGHTAGE(%)
HDFCBANK, HDFC BANK LTD., 13.66
ICICIBANK, ICICI BANK LTD., 9.19
RELIANCE, RELIANCE INDUSTRIES LTD., 8.43
INFY, INFOSYS LTD., 4.62
BHARTIARTL, BHARTI AIRTEL LTD., 4.54
LT, LARSEN & TOUBRO LTD., 3.87
ITC, ITC LTD., 3.48
SBIN, STATE BANK OF INDIA, 2.84
TCS, TATA CONSULTANCY SERVICES LTD., 2.79
AXISBANK, AXIS BANK LTD., 2.76
